RR,R_amp,RtoS2,S1toS2,Resp_amp,Resp_amp_RR_mean,Resp__amp_RR_std
,1.1422525767710123,0.4426,0.412,-0.36256355563075066,-0.40706641967212437,0.14798805646491886
0.9307999999999998,1.1575160505404576,0.4498,0.427,-0.007042205632888632,0.47780351795818554,0.21015441285562617
,,,,,,
0.9236,1.144409958222524,0.474,0.4332,-0.38886179229106915,-0.4305857612814653,0.22361478550136601
0.9167999999999998,1.1205978604514637,0.4422,0.4226,0.09881094778646862,0.5306754623475014,0.17770970298242014
0.8844000000000003,1.0906911600798828,0.4724,0.3242,0.3804991731020139,-0.09606829561956394,0.21704117617138904
0.9302000000000001,1.1422525767710123,0.4522,0.4176,-0.3515601093293622,-0.19824333361157148,0.268792373421898
0.9474,1.1016668382144486,0.4454,0.4292,0.36256355563075066,0.6364717711386768,0.1338605658283615
0.9097999999999997,1.0946553484970356,0.4718,0.4314,0.3637739347239034,-0.17218192311921127,0.229388694668121
0.9558,1.1416592968718466,,0.3636,-0.4394776452774562,-0.06881060126635033,0.35411360126823294
0.938600000000001,1.085189837378528,,0.2338,0.6234552674366718,0.6321673184046159,0.17722485079355496
0.8971999999999998,1.0989161768637712,0.48,0.438,0.19101982779210416,-0.32154064668133986,0.19976983124841186
0.9588000000000001,1.1431694638879049,0.4488,0.4112,-0.5160616315351201,-0.11771121840601188,0.3444828109935284
0.9537999999999993,1.0891540257956807,0.4476,0.3272,0.5673376912995904,0.4652295469392374,0.2370758263518128
0.9347999999999992,1.1276093501688766,0.462,0.413,-0.04489406090966503,-0.38956792909453664,0.1473594849630146
0.9578000000000007,1.1465403724058918,0.4748,0.4384,-0.49680560050769024,-0.25509644727690584,0.30957171399523054
0.9474,1.1065479137484937,0.4498,0.336,0.36256355563075066,0.5100202422398392,0.19938769436520426
0.9027999999999992,1.1211911403506294,0.4586,0.4158,-0.000990310167124964,-0.3845769477533294,0.16090496744312024
0.914200000000001,1.1419559368214294,0.4462,0.407,-0.5155114592200507,-0.23718959460603592,0.3028710984591557
0.894400000000001,1.1019904454321752,0.4444,0.3258,0.30237470436215563,0.43634304964300197,0.18390130261386753
,,,,,,
0.8838000000000008,1.1386119955715863,0.446,0.416,-0.41350951200617936,-0.20738770424374456,0.27393448771281853
0.879999999999999,1.1086783279318615,0.4542,0.4356,0.34539817940058465,0.6460318095408485,0.12320128724572083
0.8507999999999996,1.0827627832455773,0.4534,0.3058,0.4494907814117197,-0.04778406842800453,0.18470330020615017
0.8890000000000029,1.1346208398862898,0.4608,0.4322,-0.11993756468513452,-0.23251356655873143,0.17161381249077282
,,,,,,
0.875,1.043066964537762,0.4704,0.4354,0.8874279442069816,0.5667683343724602,0.2040480796488812
0.8935999999999993,1.0946553484970356,0.4644,0.3452,0.2925816371539199,-0.09755001104968707,0.2338868519262185
0.9375999999999998,1.1370748612873842,0.4666,0.4302,-0.40591713405822133,-0.20795966132426777,0.31571278274241626
0.9448000000000008,1.0940351013297258,0.447,0.4272,0.40833789224452677,0.4774282556376239,0.12265676308216052
0.909200000000002,1.0900709129125732,0.4762,0.3336,0.19773193003595113,-0.358713758016641,0.22757606184049775
0.9373999999999967,1.141039049704537,0.4508,0.4214,-0.6473327459106848,-0.4004935029778972,0.2988599330562855
0.9170000000000016,1.0961924827812375,0.4414,0.329,0.2242502356222974,0.35993549342072645,0.16720101245167435
0.8758000000000017,1.0928215742632506,0.4504,0.304,-0.10684346358648222,-0.5208554563402019,0.17046245089891057
0.8831999999999987,1.139205275470752,0.4576,0.4308,-0.6680192249572952,-0.43135294516003286,0.26267371991887417
0.8851999999999975,1.1111323493329561,0.4366,0.4228,0.11872718559198178,0.4502617333713785,0.14477723830414993
0.8670000000000044,1.0906911600798828,0.4504,0.3006,0.19157000010717357,-0.3136603914171076,0.22069749314893752
0.8873999999999995,1.1367782213378015,0.476,0.4406,-0.5463211088639385,-0.4366422053466669,0.236073645113319
0.8791999999999973,1.1123458763994314,0.4302,0.4162,0.15437835160848049,0.4932397913453056,0.14547272193532093
,,,,,,
,,,,,,
0.9029999999999987,1.126989103001567,0.4346,0.4132,0.18089665719482675,0.5365543721322363,0.156799376198219
0.8826000000000036,1.0934418214305601,0.4534,0.306,0.3142584263676552,-0.22467219407569652,0.20100943133218532
0.9187999999999974,1.1529316149559952,0.4476,0.4174,-0.4330956464226509,-0.3112958508169028,0.20556019571833772
0.9298000000000002,1.1157167849174185,0.4324,0.303,0.16197072955643854,0.5611229070399572,0.1647636945443658
,,,,,,
0.9213999999999984,1.1016668382144486,0.4576,0.3264,0.07812446873985826,-0.1834550803592308,0.13142930191204516
